,name,mass,year,reclat,reclong
26,Alexandrovsky,9251.0,1900.0,50.95,31.816670000000002
5137,Boogaldi,2000.0,1900.0,-31.15,149.11667
5401,Cedar (Texas),26000.0,1900.0,29.828059999999997,-96.90861
281,Emmaville,127.0,1900.0,-29.46667,151.61667
297,Felix,3200.0,1900.0,32.53333,-87.16667
306,Forsbach,240.0,1900.0,50.95,7.316669999999999
17315,Karagai,115.0,1900.0,51.11667,57.916669999999996
17409,La Porte,14540.0,1900.0,41.6,-86.71667
536,Leonovka,700.0,1900.0,52.26667,32.85
691,N'Goureyma,37500.0,1900.0,13.85,-4.38333
26390,Norin-Shibir,3.5,1900.0,51.85,107.91667
720,Ofehértó,3750.0,1900.0,47.88333,22.03333
745,Ovambo,121.5,1900.0,-18.0,16.0
36020,Rhine Villa,3325.0,1900.0,-34.66667,139.28333
37428,Selcany,20.0,1900.0,49.75,14.416670000000002
37720,Sterling,679.5,1900.0,40.6,-103.18333
3442,Ashfork,27000.0,1901.0,35.25,-112.5
198,Chervettaz,705.0,1901.0,46.55,6.816669999999999
12556,Gay Gulch,483.0,1901.0,63.916669999999996,-139.33333000000002
16370,Hendersonville,6000.0,1901.0,35.31667,-81.46667
389,Hvittis,14000.0,1901.0,61.183330000000005,22.683329999999998
31332,Paulding County,725.0,1901.0,34.0,-84.8
786,Phillips County (stone),57900.0,1901.0,40.0,-99.25
36731,Saline,30800.0,1901.0,39.4,-100.4
921,Sindhri,8400.0,1901.0,26.21667,69.55
4,Achiras,780.0,1902.0,-33.16667,-64.95
85,Bath Furnace,86000.0,1902.0,38.25,-83.75
170,Caratash,8.0,1902.0,38.5,27.0
5424,Chinautla,5720.0,1902.0,14.5,-90.5
219,Crumlin,4255.0,1902.0,54.61666999999999,-6.21667
11679,Finmarken,78300.0,1902.0,70.0,24.0
444,Kamsagar,1293.0,1902.0,14.183329999999998,75.8
591,Marjalahti,45000.0,1902.0,61.5,30.5
654,Mount Browne,11300.0,1902.0,-29.8,141.7
30920,Nuleri,120.0,1902.0,-27.83333,123.86667
38207,Veliko-Nikolaevsky Priisk,24267.0,1902.0,53.833330000000004,97.33333
38310,Willamette,15500000.0,1902.0,45.36667,-122.58333
5069,Billings,24500.0,1903.0,37.06667,-93.55
5611,Cumpas,28600.0,1903.0,30.0,-109.66667
6811,Davis Mountains,689000.0,1903.0,30.75,-104.25
247,Dokachi,3840.0,1903.0,23.5,90.33333
407,Jackalsfontein,48000.0,1903.0,-32.5,21.9
17309,Kansas City (1903),36000.0,1903.0,39.1,-94.63333
17353,Knowles,161000.0,1903.0,36.9,-100.21667
17366,Kouga Mountains,1173000.0,1903.0,-33.61667,24.0
17459,Lancaster County,13000.0,1903.0,40.66667,-96.75
608,Menziswyl,28.9,1903.0,46.818670000000004,7.21817
26192,Mount Dyrring,11300.0,1903.0,-32.33333,151.2
32052,Providence,6804.0,1903.0,38.56667,-85.23333000000001
847,Rich Mountain,668.0,1903.0,35.03333,-83.03333
943,St. Mark's,13780.0,1903.0,-32.01667,27.41667
37794,Tamarugal,320000.0,1903.0,-20.8,-69.66667
37910,Teocaltiche,10000.0,1903.0,21.433329999999998,-102.56667
38047,Tlacotepec,71000.0,1903.0,18.65,-97.55
1018,Tyumen,750.0,1903.0,57.166669999999996,65.53333
1019,Uberaba,40000.0,1903.0,-19.816670000000002,-48.78333
38197,Uwet,54000.0,1903.0,5.28333,8.25
1039,Valdinizza,1004.0,1903.0,44.86667,9.15
45670,Yarroweyah,9600.0,1903.0,-35.98333,145.58333000000002
4983,Bagnone,48000.0,1904.0,44.31667,9.98333
78,Barnaul,23.2,1904.0,52.73333,84.08333
5408,Chambord,6600.0,1904.0,48.45,-72.06667
6836,Delegate,27700.0,1904.0,-37.0,149.03333
354,Gumoschnik,5700.0,1904.0,42.9,24.7
19735,Lefroy,3.3,1904.0,-40.73333,146.96667
21625,Lipovsky,3500.0,1904.0,49.08333,42.51667
726,Okano,4742.0,1904.0,35.08333,135.2
32053,Puente del Zacate,30790.0,1904.0,27.866670000000003,-101.5
32055,Puerta de Arauco,1533.0,1904.0,-28.883329999999997,-66.66667
908,Shelburne,18600.0,1904.0,44.05,-80.16667
112,Bholghati,2500.0,1905.0,22.08333,86.9
5497,Coon Butte,2750.0,1905.0,35.0,-111.0
9412,El Perdido,30250.0,1905.0,-38.68333,-61.1
11617,Ellerslie,10200.0,1905.0,-28.9,146.76667
12553,Garraf,8800.0,1905.0,41.26667,1.91667
17312,Kanzaki,483.0,1905.0,33.3,130.36667
454,Karkh,22000.0,1905.0,27.8,67.16667
17365,Kota-Kota,334.0,1905.0,-13.01667,34.2
19718,Las Salinas,3515.0,1905.0,-23.0,-69.5
629,Minnichhof,550.0,1905.0,47.7,16.6
634,Modoc (1905),35000.0,1905.0,38.5,-101.1
37379,Scott City,2135.0,1905.0,38.46667,-100.93333
37634,Skookum,16000.0,1905.0,63.916669999999996,-139.33333000000002
995,Tomakovka,600.0,1905.0,47.85,34.76667
123,Blackwell,2381.0,1906.0,36.83333,-97.33333
242,Diep River,1000.0,1906.0,-33.75,18.566670000000002
9169,Duchesne,22700.0,1906.0,40.38333,-110.86667
11621,Elm Creek,7000.0,1906.0,38.5,-96.2
480,Kijima (1906),331.0,1906.0,36.85,138.38333
486,Kirbyville,97.7,1906.0,30.75,-95.95
499,Krutikha,845.2,1906.0,56.8,77.0
504,Kulp,3719.0,1906.0,41.11667,45.0
22898,Marburg,3000.0,1906.0,50.81667,8.76667
26315,Muonionalusta,230000.0,1906.0,67.8,23.1
31980,Perryville,17500.0,1906.0,37.73333,-89.85
37431,Selma,140600.0,1906.0,32.4,-87.0
1054,Vishnupur,2437.0,1906.0,23.1,87.43333
1554,Ainsworth,80650.0,1907.0,42.6,-99.8
69,Bali,1000.0,1907.0,5.38333,16.383329999999997
5126,Bodaibo,15900.0,1907.0,57.85,114.2
5154,Bowden,603.0,1907.0,-33.0,26.4
181,Chainpur,8200.0,1907.0,25.85,83.48333000000001
5442,Cleburne,6800.0,1907.0,32.31667,-97.41667
249,Domanitch,438.0,1907.0,40.0,29.0
11653,Fairburn,445.0,1907.0,43.603,-103.026
15939,Guffey,309000.0,1907.0,38.76667,-105.51666999999999
16468,Huizopa,140000.0,1907.0,28.9,-108.56667
535,Leighton,877.0,1907.0,34.58333,-87.5
26183,Mount Ayliff,13600.0,1907.0,-30.816670000000002,29.35
26389,Norfolk,23000.0,1907.0,36.9,-76.3
26342,Näs,375.0,1907.0,59.183330000000005,12.21667
37608,Shrewsbury,12000.0,1907.0,39.76667,-76.66667
37625,Simondium,1600.0,1907.0,-33.85,18.95
3432,Arltunga,18100.0,1908.0,-23.33333,134.66666999999998
61,Avce,1230.0,1908.0,46.0,13.5
16501,Imperial,4.0,1908.0,32.86667,-115.58333
435,Kagarlyk,1900.0,1908.0,49.86667,30.83333
446,Kangean,1630.0,1908.0,-7.0,115.5
635,Mokoia,4500.0,1908.0,-39.63333,174.4
710,Novy-Projekt,1001.0,1908.0,56.0,22.0
31100,Palmersville,9979.0,1908.0,36.4665,-88.60283000000001
31988,Pickens County,400.0,1908.0,34.5,-84.5
35514,Quinn Canyon,1450000.0,1908.0,38.08333,-115.53333
36730,Salina,235.0,1908.0,38.98333,-111.85
902,Sete Lagoas,350.0,1908.0,-19.46667,-44.21667
45669,Yarri,1500.0,1908.0,-29.45,121.21667
1552,Ahumada,52600.0,1909.0,30.7,-105.5
124,Blanket,5100.0,1909.0,31.83333,-98.83333
326,Gifu,14290.0,1909.0,35.53333,136.88333
15945,Gun Creek,22700.0,1909.0,34.0,-111.0
16350,Haskell,36000.0,1909.0,33.21333,-99.73167
16373,Hermitage Plains,32000.0,1909.0,-31.73333,146.4
26191,Mount Dooling,734000.0,1909.0,-29.45,119.71667
26318,Murnpeowie,1143000.0,1909.0,-29.58333,139.9
35817,Rateldraai,549000.0,1909.0,-28.83333,21.133329999999997
37911,Teplá,17000.0,1909.0,49.98333,12.86667
80,Baroti,4500.0,1910.0,31.616670000000003,76.8
5099,Blithfield,1830.0,1910.0,45.5,-77.0
5170,Britstown,544.0,1910.0,-30.58333,23.55
5244,Cadell,3290.0,1910.0,-34.06667,139.75
9158,Dorofeevka,12600.0,1910.0,53.333330000000004,70.06667
343,Grzempach,690.0,1910.0,52.86666999999999,16.633329999999997
367,Hashima,1110.6,1910.0,35.2945,136.70033
372,Hedjaz,6100.0,1910.0,27.33333,35.66667
16470,Huntsman,14500.0,1910.0,41.18333,-103.0
475,Khohar,9700.0,1910.0,25.1,81.53333
520,Lakangaon,212.5,1910.0,21.866670000000003,76.03333
630,Mirzapur,8510.0,1910.0,25.683329999999998,83.25
750,Paitan,515.0,1910.0,17.74333,120.45583
31452,Pooposo,12000.0,1910.0,-18.33333,-66.83333
36022,Rica Aventura,5395.0,1910.0,-21.98333,-69.61667
37377,Schaap-Kooi,2700.0,1910.0,-32.08333,21.33333
946,St. Michel,17000.0,1910.0,61.65,27.2
37907,Tendo,10100.0,1910.0,38.35,140.37333
1049,Vigarano,15000.0,1910.0,44.85,11.4
5585,Cruz del Aire,23000.0,1911.0,26.5,-100.0
5610,Cullison,10000.0,1911.0,37.61667,-98.91667
232,Demina,16400.0,1911.0,51.46667,84.76666999999999
286,Erevan,107.2,1911.0,40.3,44.5
17329,Kermichel,3000.0,1911.0,47.65,-2.76667
483,Kilbourn,772.0,1911.0,43.58333,-89.6
26293,Mundrabilla,24000000.0,1911.0,-30.78333,127.55
669,Nakhla,10000.0,1911.0,31.316670000000002,30.35
30957,Oberlin,2500.0,1911.0,39.8,-100.51666999999999
999,Tonk,7.7,1911.0,24.65,76.86667
38216,Vicenice,4370.0,1911.0,49.21667,15.8
1518,Adelie Land,1000.0,1912.0,-67.18333,142.38333
5071,Binda,5400.0,1912.0,-34.31667,149.38333
5088,Bishop Canyon,8600.0,1912.0,38.0,-108.5
5465,Colomera,134000.0,1912.0,37.43333,-3.65
11690,Floydada,12500.0,1912.0,33.98333,-101.28333
13030,Gretna,82000.0,1912.0,39.93333,-99.21667
380,Holbrook,220000.0,1912.0,34.9,-110.18333
533,Leeuwfontein,460.0,1912.0,-25.66667,28.366670000000003
26153,Molong,104000.0,1912.0,-33.28333,148.88333
700,N'Kandhla,17200.0,1912.0,-28.566670000000002,30.7
913,Shupiyan,5000.0,1912.0,33.71667,74.83333
37891,Tarbagatai,370.0,1912.0,51.36667,107.38333
73,Banswal,14.0,1913.0,30.4,78.2
5228,Burkett,8400.0,1913.0,32.03333,-99.25
5425,Chinga,209400.0,1913.0,51.05833,94.4
5492,Cookeville,2300.0,1913.0,36.16667,-85.51666999999999
5609,Culbertson,5900.0,1913.0,40.23333,-100.83333
